report_schema_version,case_id,split,hardware_model,cpu_cores,mem_cap_gb,gpu_mode,input_scale,repeat_count,latency_s,latency_mean_s,latency_std_s,predicted_latency_s,residual_s,fitted_predicted_latency_s,fitted_residual_s,resource_config_oof_predicted_latency_s,resource_config_oof_residual_s,max_scale_holdout_predicted_latency_s,max_scale_holdout_residual_s
2,125,out_of_fold_test,gpu,2,2,on,510.000000,5,0.015830000,0.015835400,0.000028717,0.014677639,0.001152361,0.014762506,0.001067494,0.014677639,0.001152361,0.014204773,0.001625227
2,126,out_of_fold_test,gpu,2,4,on,85.000000,5,0.006574000,0.006573000,0.000008944,0.006343802,0.000230198,0.006328008,0.000245992,0.006343802,0.000230198,,
2,127,out_of_fold_test,gpu,2,4,on,170.000000,5,0.008448000,0.008449200,0.000027021,0.008788313,-0.000340313,0.008778645,-0.000330645,0.008788313,-0.000340313,,
2,128,out_of_fold_test,gpu,2,4,on,255.000000,5,0.010132000,0.010118000,0.000031452,0.010634336,-0.000502336,0.010631291,-0.000499291,0.010634336,-0.000502336,,
2,129,out_of_fold_test,gpu,2,4,on,340.000000,5,0.011701000,0.011700400,0.000021143,0.012174788,-0.000473788,0.012178336,-0.000477336,0.012174788,-0.000473788,,
2,130,out_of_fold_test,gpu,2,4,on,425.000000,5,0.013729000,0.013728800,0.000050257,0.013521728,0.000207272,0.013531732,0.000197268,0.013521728,0.000207272,,
2,131,out_of_fold_test,gpu,2,4,on,510.000000,5,0.015783000,0.015791800,0.000019302,0.014732155,0.001050845,0.014748453,0.001034547,0.014732155,0.001050845,0.014192502,0.001590498
2,132,out_of_fold_test,gpu,2,8,on,85.000000,5,0.006604000,0.006594600,0.000018725,0.006323985,0.000280015,0.006321985,0.000282015,0.006323985,0.000280015,,
2,133,out_of_fold_test,gpu,2,8,on,170.000000,5,0.008524000,0.008522600,0.000058236,0.008768684,-0.000244684,0.008770288,-0.000246288,0.008768684,-0.000244684,,
2,134,out_of_fold_test,gpu,2,8,on,255.000000,5,0.010136000,0.010152600,0.000041855,0.010616126,-0.000480126,0.010621171,-0.000485171,0.010616126,-0.000480126,,
2,135,out_of_fold_test,gpu,2,8,on,340.000000,5,0.011688000,0.011709200,0.000045688,0.012158443,-0.000470443,0.012166742,-0.000478742,0.012158443,-0.000470443,,
2,136,out_of_fold_test,gpu,2,8,on,425.000000,5,0.013723000,0.013761200,0.000084785,0.013507457,0.000215543,0.013518850,0.000204150,0.013507457,0.000215543,,
2,137,out_of_fold_test,gpu,2,8,on,510.000000,5,0.015750000,0.015747000,0.000029373,0.014720062,0.001029938,0.014734413,0.001015587,0.014720062,0.001029938,0.014180241,0.001569759
2,138,out_of_fold_test,gpu,2,16,on,85.000000,5,0.006584000,0.006585200,0.000022480,0.006321924,0.000262076,0.006315966,0.000268034,0.006321924,0.000262076,,
2,139,out_of_fold_test,gpu,2,16,on,170.000000,5,0.008461000,0.008482600,0.000054220,0.008757845,-0.000296845,0.008761939,-0.000300939,0.008757845,-0.000296845,,
2,140,out_of_fold_test,gpu,2,16,on,255.000000,5,0.010161000,0.010152400,0.000011808,0.010597357,-0.000436357,0.010611060,-0.000450060,0.010597357,-0.000436357,,
2,141,out_of_fold_test,gpu,2,16,on,340.000000,5,0.011716000,0.011721600,0.000009891,0.012132360,-0.000416360,0.012155160,-0.000439160,0.012132360,-0.000416360,,
2,142,out_of_fold_test,gpu,2,16,on,425.000000,5,0.013760000,0.013794200,0.000051023,0.013474528,0.000285472,0.013505981,0.000254019,0.013474528,0.000285472,,
2,143,out_of_fold_test,gpu,2,16,on,510.000000,5,0.015805000,0.015791600,0.000033284,0.014680659,0.001124341,0.014720387,0.001084613,0.014680659,0.001124341,0.014167991,0.001637009
2,144,out_of_fold_test,gpu,4,2,on,85.000000,5,0.005927000,0.005926800,0.000004956,0.005602237,0.000324763,0.005594138,0.000332862,0.005602237,0.000324763,,
